idx,FLOPs,Energy (mJ),Latency (ms),input,weight,output,computation,DRAM,DRAM-GB,GB,NoC,RF
15,58195968.0,0.8246385664000001,0.0004915200000000001,0.17734041600000003,0.4502585344,0.13884364800000001,0.058195968,0.2373632,0.0,0.042964992,0.13688176640000002,0.34923264000000004
16,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
17,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
18,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
19,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
20,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
21,14548992.0,0.2079947776,0.00012288000000000002,0.04433510400000001,0.1125646336,0.036546048000000005,0.014548992,0.0616448,0.0,0.010229760000000001,0.034220441600000005,0.08735078400000001
22,58195968.0,0.8202625024000001,0.0004915200000000001,0.15583641600000003,0.4502585344,0.155971584,0.058195968,0.2373632,0.0,0.038191104000000003,0.13688176640000002,0.34963046400000003
23,58195968.0,0.8246385664000001,0.0004915200000000001,0.17734041600000003,0.4502585344,0.13884364800000001,0.058195968,0.2373632,0.0,0.042964992,0.13688176640000002,0.34923264000000004
24,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
25,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
26,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
27,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
28,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
29,14548992.0,0.2079947776,0.00012288000000000002,0.04433510400000001,0.1125646336,0.036546048000000005,0.014548992,0.0616448,0.0,0.010229760000000001,0.034220441600000005,0.08735078400000001
30,58195968.0,0.8202625024000001,0.0004915200000000001,0.15583641600000003,0.4502585344,0.155971584,0.058195968,0.2373632,0.0,0.038191104000000003,0.13688176640000002,0.34963046400000003
31,58195968.0,0.8246385664000001,0.0004915200000000001,0.17734041600000003,0.4502585344,0.13884364800000001,0.058195968,0.2373632,0.0,0.042964992,0.13688176640000002,0.34923264000000004
32,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
33,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
34,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
35,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
36,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
37,14548992.0,0.2079947776,0.00012288000000000002,0.04433510400000001,0.1125646336,0.036546048000000005,0.014548992,0.0616448,0.0,0.010229760000000001,0.034220441600000005,0.08735078400000001
38,58195968.0,0.8202625024000001,0.0004915200000000001,0.15583641600000003,0.4502585344,0.155971584,0.058195968,0.2373632,0.0,0.038191104000000003,0.13688176640000002,0.34963046400000003
39,58195968.0,0.8246385664000001,0.0004915200000000001,0.17734041600000003,0.4502585344,0.13884364800000001,0.058195968,0.2373632,0.0,0.042964992,0.13688176640000002,0.34923264000000004
40,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
41,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
42,14548992.0,0.20736962560000002,0.00012288000000000002,0.04126310400000001,0.1125646336,0.038992896,0.014548992,0.0616448,0.0,0.009547776000000001,0.034220441600000005,0.08740761600000001
43,1704960.0,0.026621376,1.4400000000000001e-05,0.010690560000000002,0.007616256000000001,0.006609600000000001,0.00170496,0.009792,0.0,0.001001664,0.0038397120000000008,0.01028304
44,1704960.0,0.02659296,1.5360000000000002e-05,0.00703584,0.007616256000000001,0.010235904,0.00170496,0.009792,0.0,0.001001664,0.0037509120000000003,0.010343424
45,14548992.0,0.2079947776,0.00012288000000000002,0.04433510400000001,0.1125646336,0.036546048000000005,0.014548992,0.0616448,0.0,0.010229760000000001,0.034220441600000005,0.08735078400000001
46,58195968.0,0.8202625024000001,0.0004915200000000001,0.15583641600000003,0.4502585344,0.155971584,0.058195968,0.2373632,0.0,0.038191104000000003,0.13688176640000002,0.34963046400000003
47,58195968.0,0.8246385664000001,0.0004915200000000001,0.17734041600000003,0.4502585344,0.13884364800000001,0.058195968,0.2373632,0.0,0.042964992,0.13688176640000002,0.34923264000000004
