idx,FLOPs,Energy (mJ),Latency (ms),input,weight,output,computation,DRAM,DRAM-GB,GB,NoC,RF
0,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
1,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
2,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
3,92160.0,0.006290904,2.8800000000000004e-06,0.002843136,0.0021031680000000003,0.00125244,9.216e-05,0.00228,0.0,0.000210456,0.001144188,0.0025641
4,92160.0,0.006219864,3.8400000000000005e-06,0.00146556,0.0021031680000000003,0.002558976,9.216e-05,0.00228,0.0,0.000210456,0.0010513920000000002,0.002585856
5,786432.0,0.04704509440000001,3.0720000000000004e-05,0.009606144,0.0281411584,0.00851136,0.000786432,0.0154112,0.0,0.00085248,0.008157286400000002,0.021837696000000004
6,47185.92,0.02348237312,1.5360000000000002e-05,0.004803072,0.0140705792,0.004561536000000001,4.718592e-05,0.008089599999999999,0.0,0.00034099200000000003,0.004078643200000001,0.010925952000000001
7,3686.4,0.0028461184,1.024e-06,0.00119424,0.00046816000000000007,0.0011800320000000001,3.6864e-06,0.0015424,0.0,0.00017049600000000002,0.00022022400000000004,0.0009093120000000001
8,47185.92,0.02348237312,1.5360000000000002e-05,0.004803072,0.0140705792,0.004561536000000001,4.718592e-05,0.008089599999999999,0.0,0.00034099200000000003,0.004078643200000001,0.010925952000000001
9,9437184.0,0.5476451328,0.00036864000000000005,0.09837772800000001,0.3376939008,0.10213632000000002,0.009437184,0.1680384,0.0,0.010229760000000001,0.0978874368,0.26205235200000004
10,9437184.0,0.5492080128000001,0.00036864000000000005,0.10605772800000002,0.3376939008,0.09601920000000001,0.009437184,0.1680384,0.0,0.01193472,0.0978874368,0.26191027200000006
0,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
1,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
2,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
3,92160.0,0.006290904,2.8800000000000004e-06,0.002843136,0.0021031680000000003,0.00125244,9.216e-05,0.00228,0.0,0.000210456,0.001144188,0.0025641
4,92160.0,0.006219864,3.8400000000000005e-06,0.00146556,0.0021031680000000003,0.002558976,9.216e-05,0.00228,0.0,0.000210456,0.0010513920000000002,0.002585856
5,786432.0,0.04704509440000001,3.0720000000000004e-05,0.009606144,0.0281411584,0.00851136,0.000786432,0.0154112,0.0,0.00085248,0.008157286400000002,0.021837696000000004
6,393216.0,0.0238284032,1.5360000000000002e-05,0.004803072,0.0140705792,0.004561536000000001,0.000393216,0.008089599999999999,0.0,0.00034099200000000003,0.004078643200000001,0.010925952000000001
7,8294.4,0.0042031584,3.0720000000000004e-06,0.001449984,0.0010533600000000001,0.0016915200000000002,8.2944e-06,0.0015504,0.0,0.00017049600000000002,0.00025752,0.002216448
8,393216.0,0.0238284032,1.5360000000000002e-05,0.004803072,0.0140705792,0.004561536000000001,0.000393216,0.008089599999999999,0.0,0.00034099200000000003,0.004078643200000001,0.010925952000000001
9,6291456.0,0.36583608320000005,0.00024576000000000003,0.068825088,0.2251292672,0.065590272,0.006291456,0.1125376,0.0,0.00681984,0.06548561920000001,0.17470156800000003
10,6291456.0,0.36654648320000005,0.00024576000000000003,0.07070515200000001,0.2251292672,0.06442060800000002,0.006291456,0.1125376,0.0,0.007842816,0.06525829120000001,0.17461632000000002
0,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
1,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
2,786432.0,0.046888806400000003,3.0720000000000004e-05,0.008838144000000001,0.0281411584,0.009123072000000001,0.000786432,0.0154112,0.0,0.0006819840000000001,0.008157286400000002,0.021851904000000002
3,92160.0,0.006290904,2.8800000000000004e-06,0.002843136,0.0021031680000000003,0.00125244,9.216e-05,0.00228,0.0,0.000210456,0.001144188,0.0025641
4,92160.0,0.006219864,3.8400000000000005e-06,0.00146556,0.0021031680000000003,0.002558976,9.216e-05,0.00228,0.0,0.000210456,0.0010513920000000002,0.002585856
5,786432.0,0.04704509440000001,3.0720000000000004e-05,0.009606144,0.0281411584,0.00851136,0.000786432,0.0154112,0.0,0.00085248,0.008157286400000002,0.021837696000000004
6,393216.0,0.0238284032,1.5360000000000002e-05,0.004803072,0.0140705792,0.004561536000000001,0.000393216,0.008089599999999999,0.0,0.00034099200000000003,0.004078643200000001,0.010925952000000001
7,23040.0,0.008761648,5.12e-06,0.002416128,0.0029260000000000006,0.0033964800000000003,2.304e-05,0.001576,0.0,0.00017049600000000002,0.000456432,0.006535680000000001
8,393216.0,0.0238284032,1.5360000000000002e-05,0.004803072,0.0140705792,0.004561536000000001,0.000393216,0.008089599999999999,0.0,0.00034099200000000003,0.004078643200000001,0.010925952000000001
9,9437184.0,0.5476451328,0.00036864000000000005,0.09837772800000001,0.3376939008,0.10213632000000002,0.009437184,0.1680384,0.0,0.010229760000000001,0.0978874368,0.26205235200000004
10,9437184.0,0.5492080128000001,0.00036864000000000005,0.10605772800000002,0.3376939008,0.09601920000000001,0.009437184,0.1680384,0.0,0.01193472,0.0978874368,0.26191027200000006
